Date,Adj Close,Close,High,Low,Open,Volume,Stock_ID,Stock_Name
2023-05-02,95.43115997314453,105.03529357910156,105.4537582397461,103.88450622558594,104.4075927734375,5847553,2327.TW,國巨
2023-05-03,94.67074584960938,104.19835662841797,104.82605743408203,103.36141967773438,104.6168212890625,4987505,2327.TW,國巨
2023-05-04,93.81527709960938,103.25680541992188,103.77989196777344,102.31525421142578,103.36141967773438,7897262,2327.TW,國巨
2023-05-05,96.1915512084961,105.87222290039062,106.49992370605469,103.77989196777344,103.77989196777344,11860888,2327.TW,國巨
2023-05-08,95.81135559082031,105.4537582397461,107.12762451171875,105.4537582397461,107.12762451171875,7683114,2327.TW,國巨
2023-05-09,95.05094909667969,104.6168212890625,104.82605743408203,102.21063995361328,104.19835662841797,14175105,2327.TW,國巨
2023-05-10,94.00538635253906,103.4660415649414,104.19835662841797,102.94295501708984,104.19835662841797,7474820,2327.TW,國巨
2023-05-11,93.14993286132812,102.52449035644531,105.03529357910156,102.52449035644531,103.5706558227539,7499491,2327.TW,國巨
2023-05-12,94.29053497314453,103.77989196777344,103.77989196777344,101.68755340576172,101.68755340576172,6613448,2327.TW,國巨
2023-05-15,92.76972961425781,102.10601806640625,103.77989196777344,101.89678955078125,103.77989196777344,7153199,2327.TW,國巨
2023-05-16,93.34002685546875,102.73371887207031,103.5706558227539,102.52449035644531,102.94295501708984,7149700,2327.TW,國巨
2023-05-17,92.86477661132812,102.21063995361328,103.36141967773438,101.89678955078125,102.73371887207031,11106401,2327.TW,國巨
2023-05-18,95.05094909667969,104.6168212890625,104.82605743408203,102.73371887207031,103.25680541992188,13210542,2327.TW,國巨
2023-05-19,94.19549560546875,103.6752700805664,105.66299438476562,103.6752700805664,105.03529357910156,14608032,2327.TW,國巨
2023-05-22,93.72024536132812,103.15219116210938,103.88450622558594,101.89678955078125,103.88450622558594,18245750,2327.TW,國巨
2023-05-23,93.81527709960938,103.25680541992188,103.88450622558594,102.52449035644531,103.25680541992188,13020257,2327.TW,國巨
2023-05-24,93.62518310546875,103.04756927490234,103.25680541992188,101.89678955078125,102.73371887207031,16985900,2327.TW,國巨
2023-05-25,96.38166046142578,106.08145904541016,106.08145904541016,102.21063995361328,103.15219116210938,23908037,2327.TW,國巨
2023-05-26,95.43115997314453,105.03529357910156,107.12762451171875,104.19835662841797,105.87222290039062,30982010,2327.TW,國巨
2023-05-29,96.57176971435547,106.29069519042969,106.70915985107422,105.24452209472656,106.08145904541016,20900801,2327.TW,國巨
2023-05-30,94.29053497314453,103.77989196777344,106.29069519042969,103.15219116210938,106.29069519042969,29199858,2327.TW,國巨
2023-05-31,96.57176971435547,106.29069519042969,106.29069519042969,103.4660415649414,103.5706558227539,38721037,2327.TW,國巨
2023-06-01,95.05094909667969,104.6168212890625,105.87222290039062,104.30297088623047,105.24452209472656,15292124,2327.TW,國巨
2023-06-02,96.1915512084961,105.87222290039062,106.70915985107422,104.82605743408203,105.4537582397461,21729774,2327.TW,國巨
2023-06-05,98.66288757324219,108.5922622680664,109.01073455810547,106.08145904541016,106.70915985107422,18729592,2327.TW,國巨
2023-06-06,95.43115997314453,105.03529357910156,108.80149841308594,105.03529357910156,108.3830337524414,18730017,2327.TW,國巨
2023-06-07,95.81135559082031,105.4537582397461,106.08145904541016,104.82605743408203,105.03529357910156,8138920,2327.TW,國巨
2023-06-08,93.91033172607422,103.36141967773438,105.4537582397461,103.15219116210938,105.03529357910156,15279889,2327.TW,國巨
2023-06-09,93.62518310546875,103.04756927490234,104.4075927734375,103.04756927490234,104.4075927734375,9171321,2327.TW,國巨
2023-06-12,92.76972961425781,102.10601806640625,104.4075927734375,102.10601806640625,104.4075927734375,12041891,2327.TW,國巨
2023-06-13,94.1004409790039,103.5706558227539,103.98912048339844,102.73371887207031,103.04756927490234,11194733,2327.TW,國巨
2023-06-14,94.95590209960938,104.51220703125,105.66299438476562,103.77989196777344,104.09374237060547,13057909,2327.TW,國巨
2023-06-15,96.95196533203125,106.70915985107422,107.54609680175781,105.03529357910156,105.03529357910156,16756788,2327.TW,國巨
2023-06-16,96.1915512084961,105.87222290039062,107.33686065673828,104.82605743408203,106.91839599609375,12023515,2327.TW,國巨
2023-06-19,94.67074584960938,104.19835662841797,105.87222290039062,104.19835662841797,105.03529357910156,8161321,2327.TW,國巨
2023-06-20,94.29053497314453,103.77989196777344,105.24452209472656,103.6752700805664,105.03529357910156,7056847,2327.TW,國巨
2023-06-21,93.34002685546875,102.73371887207031,104.09374237060547,102.52449035644531,103.88450622558594,10686421,2327.TW,國巨
2023-06-26,92.38951873779297,101.68755340576172,102.94295501708984,101.68755340576172,102.73371887207031,11782574,2327.TW,國巨
2023-06-27,92.57962036132812,101.89678955078125,102.52449035644531,100.85061645507812,101.47831726074219,8600504,2327.TW,國巨
2023-06-28,92.76972961425781,102.10601806640625,102.83834075927734,102.00140380859375,102.31525421142578,4610649,2327.TW,國巨
2023-06-29,94.1004409790039,103.5706558227539,103.77989196777344,102.41986846923828,102.94295501708984,8796940,2327.TW,國巨
2023-06-30,93.4350814819336,102.83834075927734,103.77989196777344,102.73371887207031,103.77989196777344,4050576,2327.TW,國巨
2023-07-03,94.95590209960938,104.51220703125,105.24452209472656,103.5706558227539,103.88450622558594,10667462,2327.TW,國巨
2023-07-04,94.57569885253906,104.09374237060547,104.82605743408203,103.6752700805664,104.51220703125,11798857,2327.TW,國巨
2023-07-05,94.57450103759766,102.00140380859375,104.51220703125,101.89678955078125,103.5706558227539,13937490,2327.TW,國巨
2023-07-06,94.8655014038086,102.31525421142578,102.83834075927734,101.37370300292969,101.58293914794922,6735140,2327.TW,國巨
2023-07-07,95.35049438476562,102.83834075927734,104.09374237060547,101.37370300292969,102.00140380859375,10832879,2327.TW,國巨
2023-07-10,94.0895004272461,101.47831726074219,102.94295501708984,101.47831726074219,102.31525421142578,6644270,2327.TW,國巨
2023-07-11,96.32048797607422,103.88450622558594,104.30297088623047,102.21063995361328,102.41986846923828,9072670,2327.TW,國巨
2023-07-12,96.41748809814453,103.98912048339844,104.19835662841797,102.94295501708984,103.36141967773438,4102614,2327.TW,國巨
2023-07-13,95.25349426269531,102.73371887207031,105.24452209472656,102.52449035644531,104.51220703125,12482910,2327.TW,國巨
2023-07-14,96.12649536132812,103.6752700805664,104.09374237060547,102.94295501708984,103.15219116210938,5694944,2327.TW,國巨
2023-07-17,97.58148193359375,105.24452209472656,105.4537582397461,103.36141967773438,104.09374237060547,11693874,2327.TW,國巨
2023-07-18,94.8655014038086,102.31525421142578,106.08145904541016,102.21063995361328,106.08145904541016,17146023,2327.TW,國巨
2023-07-19,94.28350067138672,101.68755340576172,103.04756927490234,101.47831726074219,102.73371887207031,9997526,2327.TW,國巨
2023-07-20,94.0895004272461,101.47831726074219,102.52449035644531,101.37370300292969,101.68755340576172,4720923,2327.TW,國巨
2023-07-21,91.85851287841797,99.07212829589844,101.47831726074219,98.75828552246094,101.47831726074219,13924686,2327.TW,國巨
2023-07-24,88.7545394897461,95.72439575195312,99.17675018310547,95.6197738647461,99.07212829589844,18903971,2327.TW,國巨
2023-07-25,89.53052520751953,96.56132507324219,96.97979736328125,96.03824615478516,96.56132507324219,6811198,2327.TW,國巨
2023-07-26,87.2025375366211,94.05052185058594,96.87517547607422,93.94590759277344,96.56132507324219,16621174,2327.TW,國巨
