Date,Adj Close,Close,High,Low,Open,Volume,Stock_ID,Stock_Name
2023-05-02,162.3899383544922,167.5,169.5,162.5,164.0,3864000,3105.TWO,穩懋
2023-05-03,158.511962890625,163.5,167.0,163.5,165.5,2224000,3105.TWO,穩懋
2023-05-04,159.96620178222656,165.0,165.5,162.5,163.0,1567000,3105.TWO,穩懋
2023-05-05,159.96620178222656,165.0,167.0,164.0,164.5,1458000,3105.TWO,穩懋
2023-05-08,161.4204559326172,166.5,168.5,165.5,168.0,1638000,3105.TWO,穩懋
2023-05-09,160.93569946289062,166.0,168.0,164.0,166.5,1531000,3105.TWO,穩懋
2023-05-10,158.02723693847656,163.0,166.5,162.5,166.0,1860000,3105.TWO,穩懋
2023-05-11,152.21026611328125,157.0,164.5,157.0,163.5,2493000,3105.TWO,穩懋
2023-05-12,154.1492462158203,159.0,160.5,156.0,156.5,2314000,3105.TWO,穩懋
2023-05-15,139.6068572998047,144.0,153.0,143.5,153.0,10196000,3105.TWO,穩懋
2023-05-16,143.48483276367188,148.0,148.5,143.5,144.0,5617000,3105.TWO,穩懋
2023-05-17,146.87806701660156,151.5,151.5,146.5,147.5,3301000,3105.TWO,穩懋
2023-05-18,145.9085693359375,150.5,153.5,149.0,153.0,3169000,3105.TWO,穩懋
2023-05-19,146.87806701660156,151.5,152.0,148.0,151.0,3688000,3105.TWO,穩懋
2023-05-22,145.423828125,150.0,155.0,147.0,155.0,4946000,3105.TWO,穩懋
2023-05-23,151.72552490234375,156.5,157.0,150.5,150.5,4596000,3105.TWO,穩懋
2023-05-24,148.33230590820312,153.0,155.5,152.0,155.0,2867000,3105.TWO,穩懋
2023-05-25,147.84754943847656,152.5,156.5,152.0,153.0,3607000,3105.TWO,穩懋
2023-05-26,150.2712860107422,155.0,157.0,153.5,153.5,2500000,3105.TWO,穩懋
2023-05-29,154.1492462158203,159.0,161.0,157.0,157.5,3258000,3105.TWO,穩懋
2023-05-30,154.1492462158203,159.0,160.0,156.0,159.0,2914000,3105.TWO,穩懋
2023-05-31,154.63400268554688,159.5,161.5,157.5,158.0,3325000,3105.TWO,穩懋
2023-06-01,153.1797637939453,158.0,160.0,157.0,159.0,1703000,3105.TWO,穩懋
2023-06-02,155.11875915527344,160.0,161.0,158.0,159.5,2570000,3105.TWO,穩懋
2023-06-05,158.99671936035156,164.0,165.0,162.0,163.5,3249000,3105.TWO,穩懋
2023-06-06,156.08824157714844,161.0,165.5,160.0,165.0,2227000,3105.TWO,穩懋
2023-06-07,171.60011291503906,177.0,177.0,164.5,165.0,13938000,3105.TWO,穩懋
2023-06-08,169.6611328125,175.0,179.0,173.5,176.0,8493000,3105.TWO,穩懋
2023-06-09,170.1458740234375,175.5,177.0,171.0,177.0,5938000,3105.TWO,穩懋
2023-06-12,171.60011291503906,177.0,182.5,173.5,174.5,7523000,3105.TWO,穩懋
2023-06-13,170.630615234375,176.0,182.5,176.0,179.5,5917000,3105.TWO,穩懋
2023-06-14,174.5085906982422,180.0,182.0,176.0,177.0,5664000,3105.TWO,穩懋
2023-06-15,175.96282958984375,181.5,184.5,180.0,181.5,6492000,3105.TWO,穩懋
2023-06-16,174.0238494873047,179.5,183.0,178.5,183.0,4096000,3105.TWO,穩懋
2023-06-19,172.56961059570312,178.0,180.0,177.5,178.5,2333000,3105.TWO,穩懋
2023-06-20,168.20689392089844,173.5,178.5,173.5,178.5,2724000,3105.TWO,穩懋
2023-06-21,164.81365966796875,170.0,173.5,169.5,172.5,4389000,3105.TWO,穩懋
2023-06-26,160.45095825195312,165.5,171.0,165.0,170.5,3684000,3105.TWO,穩懋
2023-06-27,160.93569946289062,166.0,170.5,164.0,166.0,2877000,3105.TWO,穩懋
2023-06-28,161.9051971435547,167.0,168.5,166.5,168.0,1958000,3105.TWO,穩懋
2023-06-29,159.96620178222656,165.0,168.0,164.0,166.0,4034000,3105.TWO,穩懋
2023-06-30,158.99671936035156,164.0,166.5,163.5,165.0,2321000,3105.TWO,穩懋
2023-07-03,158.99671936035156,164.0,166.0,163.5,165.5,3051000,3105.TWO,穩懋
2023-07-04,165.39596557617188,168.0,170.0,162.5,164.0,4746000,3105.TWO,穩懋
2023-07-05,164.41146850585938,167.0,173.0,167.0,168.0,6824000,3105.TWO,穩懋
2023-07-06,168.84170532226562,171.5,180.0,168.0,168.0,13014000,3105.TWO,穩懋
2023-07-07,164.90371704101562,167.5,170.5,163.5,170.5,7862000,3105.TWO,穩懋
2023-07-10,164.41146850585938,167.0,172.0,165.5,168.0,4096000,3105.TWO,穩懋
2023-07-11,167.85720825195312,170.5,171.5,166.5,169.0,4419000,3105.TWO,穩懋
2023-07-12,167.85720825195312,170.5,174.0,170.0,172.0,4519000,3105.TWO,穩懋
2023-07-13,170.8107147216797,173.5,178.0,171.5,174.0,7727000,3105.TWO,穩懋
2023-07-14,173.76422119140625,176.5,178.0,174.0,176.0,5017000,3105.TWO,穩懋
2023-07-17,170.8107147216797,173.5,177.5,171.5,177.0,4160000,3105.TWO,穩懋
2023-07-18,171.7952117919922,174.5,176.0,171.0,174.5,3841000,3105.TWO,穩懋
2023-07-19,168.84170532226562,171.5,184.5,171.5,177.0,11293000,3105.TWO,穩懋
2023-07-20,174.74871826171875,177.5,182.0,172.5,173.5,10857000,3105.TWO,穩懋
2023-07-21,175.240966796875,178.0,180.5,175.0,175.0,5204000,3105.TWO,穩懋
2023-07-24,169.8262176513672,172.5,184.0,172.0,183.0,8389000,3105.TWO,穩懋
2023-07-25,165.39596557617188,168.0,175.0,168.0,173.0,6290000,3105.TWO,穩懋
2023-07-26,159.98121643066406,162.5,168.0,161.5,168.0,5798000,3105.TWO,穩懋
2023-07-27,163.4269561767578,166.0,169.0,163.0,164.0,3539000,3105.TWO,穩懋
2023-07-28,163.91921997070312,166.5,170.0,163.5,166.5,5362000,3105.TWO,穩懋
2023-07-31,161.4579620361328,164.0,169.5,163.0,169.0,6224000,3105.TWO,穩懋
2023-08-01,147.6749725341797,150.0,158.0,149.0,155.0,15933000,3105.TWO,穩懋
2023-08-02,150.6284637451172,153.0,154.0,148.5,148.5,6367000,3105.TWO,穩懋
2023-08-04,152.105224609375,154.5,157.0,150.0,150.0,4940000,3105.TWO,穩懋
2023-08-07,149.64398193359375,152.0,156.0,151.5,154.5,2574000,3105.TWO,穩懋
2023-08-08,148.6594696044922,151.0,152.0,149.0,151.5,3820000,3105.TWO,穩懋
2023-08-09,149.15171813964844,151.5,153.0,150.0,150.5,2432000,3105.TWO,穩懋
2023-08-10,148.16722106933594,150.5,151.0,148.0,150.5,2834000,3105.TWO,穩懋
2023-08-11,141.27572631835938,143.5,147.0,142.0,144.0,7854000,3105.TWO,穩懋
2023-08-14,136.35321044921875,138.5,141.5,137.0,141.0,4369000,3105.TWO,穩懋
2023-08-15,132.907470703125,135.0,140.0,135.0,139.0,5834000,3105.TWO,穩懋
2023-08-16,133.3997344970703,135.5,137.5,131.0,132.0,5720000,3105.TWO,穩懋
2023-08-17,127.98497772216797,130.0,133.0,129.0,133.0,9915000,3105.TWO,穩懋
2023-08-18,129.95396423339844,132.0,133.5,130.5,131.0,3866000,3105.TWO,穩懋
2023-08-21,127.00048065185547,129.0,133.5,128.5,133.0,3975000,3105.TWO,穩懋
2023-08-22,126.50822448730469,128.5,131.0,128.0,130.0,4497000,3105.TWO,穩懋
2023-08-23,126.50822448730469,128.5,129.5,126.5,128.5,4137000,3105.TWO,穩懋
2023-08-24,127.49272155761719,129.5,131.5,127.5,130.5,4433000,3105.TWO,穩懋
2023-08-25,126.01597595214844,128.0,129.5,126.0,128.5,3859000,3105.TWO,穩懋
2023-08-28,127.49272155761719,129.5,132.0,128.5,129.0,2960000,3105.TWO,穩懋
2023-08-29,128.969482421875,131.0,132.0,129.0,130.0,3785000,3105.TWO,穩懋
2023-08-30,131.9229736328125,134.0,137.0,132.0,132.0,5843000,3105.TWO,穩懋
2023-08-31,133.8919677734375,136.0,136.5,132.0,133.5,33020000,3105.TWO,穩懋
2023-09-01,138.3222198486328,140.5,146.0,135.5,137.0,9276000,3105.TWO,穩懋
2023-09-04,141.76795959472656,144.0,146.0,139.0,141.0,7800000,3105.TWO,穩懋
